time,open,high,low,close,tick_volume
2021-06-14 14:00:00,1848.3,1866.82,1847.07,1864.42,19168
2021-06-14 15:00:00,1864.4,1869.72,1862.33,1866.07,18543
2021-06-14 16:00:00,1866.21,1866.82,1862.53,1864.14,10307
2021-06-14 17:00:00,1864.11,1864.87,1862.81,1864.13,7480
2021-06-14 18:00:00,1864.13,1864.76,1863.15,1863.21,4417
2021-06-14 19:00:00,1863.25,1865.61,1863.22,1864.55,4918
2021-06-14 20:00:00,1864.52,1866.17,1864.38,1866.03,4097
2021-06-14 21:00:00,1866.03,1866.35,1865.37,1865.93,2182
2021-06-14 23:00:00,1866.05,1867.46,1865.9,1867.18,1947
2021-06-15 00:00:00,1867.16,1867.64,1865.74,1866.74,2958
2021-06-15 01:00:00,1866.77,1867.57,1865.67,1866.4,5205
2021-06-15 02:00:00,1866.3,1867.76,1858.59,1860.34,17626
2021-06-15 03:00:00,1860.31,1863.82,1859.47,1862.2,9397
2021-06-15 04:00:00,1862.2,1863.61,1860.3,1863.49,6014
2021-06-15 05:00:00,1863.47,1865.88,1863.36,1864.41,4457
2021-06-15 06:00:00,1864.42,1866.85,1863.76,1866.0,6113
2021-06-15 07:00:00,1866.02,1869.08,1865.41,1866.64,10341
2021-06-15 08:00:00,1866.63,1868.03,1865.81,1865.82,6880
2021-06-15 09:00:00,1865.82,1866.39,1862.12,1863.97,7793
2021-06-15 10:00:00,1863.96,1865.91,1862.66,1863.81,6617
2021-06-15 11:00:00,1863.79,1865.93,1862.96,1864.7,7059
2021-06-15 12:00:00,1864.71,1865.23,1862.81,1864.11,7308
2021-06-15 13:00:00,1864.05,1867.65,1861.15,1865.52,17124
2021-06-15 14:00:00,1865.52,1868.02,1863.68,1865.19,19102
2021-06-15 15:00:00,1865.14,1865.36,1857.56,1859.7,18364
2021-06-15 16:00:00,1859.72,1861.42,1855.74,1855.78,9798
2021-06-15 17:00:00,1855.77,1856.93,1851.57,1852.27,12664
2021-06-15 18:00:00,1852.25,1856.71,1852.11,1856.55,9604
2021-06-15 19:00:00,1856.53,1858.05,1856.21,1857.39,7278
2021-06-15 20:00:00,1857.39,1859.32,1856.6,1859.17,5933
2021-06-15 21:00:00,1859.16,1859.23,1858.27,1858.66,2155
2021-06-15 23:00:00,1858.91,1860.73,1858.45,1859.89,2504
2021-06-16 00:00:00,1859.89,1859.89,1857.11,1857.79,2563
2021-06-16 01:00:00,1857.78,1857.94,1854.45,1854.45,4593
